2017-03-29 02:59:14,881  INFO [main] TestNG_FB_TestCase001:20 - Checking Method EmailPhone Text
 INFO 2017-03-30 11:21:20,283 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:46 - Browser window naviagted to :Forgotten Password | Can't Log In | Facebook
 INFO 2017-03-30 11:23:12,149 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:21 - Checking Method EmailPhone Text
 INFO 2017-03-30 11:23:12,290 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:23 - Checking Password Text
 INFO 2017-03-30 11:23:12,431 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:25 - Checking facebook Logo
 INFO 2017-03-30 11:23:12,660 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:27 - Verifying TagLine in FaceBook
 INFO 2017-03-30 11:23:12,661 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:31 - Asserting Email Phone Text area
 INFO 2017-03-30 11:23:12,746 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:33 - Asserting Password Text area
 INFO 2017-03-30 11:23:12,827 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:35 - Asserting Forgotten Account Link
 INFO 2017-03-30 11:23:14,775 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:46 - Browser window naviagted to :Forgotten Password | Can't Log In | Facebook
 INFO 2017-04-06 12:22:33,763 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:21 - Checking Method EmailPhone Text
 INFO 2017-04-06 12:22:34,103 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:23 - Checking Password Text
 INFO 2017-04-06 12:22:34,325 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:25 - Checking facebook Logo
 INFO 2017-04-06 12:22:34,596 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:27 - Verifying TagLine in FaceBook
 INFO 2017-04-06 12:22:34,597 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:31 - Asserting Email Phone Text area
 INFO 2017-04-06 12:22:34,683 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:33 - Asserting Password Text area
 INFO 2017-04-06 12:22:34,811 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:35 - Asserting Forgotten Account Link
 INFO 2017-04-06 12:28:56,724 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:21 - Checking Method EmailPhone Text
 INFO 2017-04-06 12:28:56,921 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:23 - Checking Password Text
 INFO 2017-04-06 12:28:57,073 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:25 - Checking facebook Logo
 INFO 2017-04-06 12:28:57,301 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:27 - Verifying TagLine in FaceBook
 INFO 2017-04-06 12:28:57,303 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:31 - Asserting Email Phone Text area
